7101;[0.5692826681942588, 0.945865953790338, 1.0]
7102;[0.5623390952556087, 0.9491234522496015, 1.0]
7103;[0.5806709265175719, 0.9361022364217253, 1.0]
7104;[0.5041851304775973, 0.9522402757262433, 1.0]
7105;[0.5634300126103404, 0.9341740226986128, 1.0]
7106;[0.6320119670905011, 0.9431563201196709, 1.0]
7107;[0.5692826681942588, 0.945865953790338, 1.0]
7108;[0.6006884681583476, 0.9397590361445782, 1.0]
7109;[0.5753398612035364, 0.9475235288525525, 1.0]
7110;[0.5692826681942588, 0.945865953790338, 1.0]
7111;[0.5756838905775076, 0.9507598784194529, 1.0]
7112;[0.5692826681942588, 0.945865953790338, 1.0]
7113;[0.5692826681942588, 0.945865953790338, 1.0]
7114;[0.5498059508408797, 0.9560155239327297, 1.0]
7115;[0.5692826681942588, 0.945865953790338, 1.0]
7116;[0.5692826681942588, 0.945865953790338, 1.0]
7100;[0.5692826681942588, 0.945865953790338, 1.0]
7201;[0.506036217303823, 0.9325955734406439, 1.0]
7202;[0.535377768505963, 0.9326170856367999, 1.0]
7203;[0.5477707006369427, 0.9309978768577495, 1.0]
7204;[0.39050131926121373, 0.9656992084432718, 1.0]
7205;[0.5199089874857793, 0.9304765516369612, 1.0]
7206;[0.5318324860808521, 0.9312515129508594, 1.0]
7207;[0.5077605321507761, 0.9379157427937916, 1.0]
7208;[0.5676205409643277, 0.924343394747158, 1.0]
7209;[0.5676034941131789, 0.9236612229396126, 1.0]
7210;[0.6342857142857142, 0.96, 1.0]
7211;[0.535377768505963, 0.9326170856367999, 1.0]
7212;[0.5655172413793104, 0.9402298850574713, 1.0]
7213;[0.4516129032258064, 0.9834101382488478, 1.0]
7214;[0.41044776119402987, 0.9776119402985075, 1.0]
7215;[0.5079787234042553, 0.9680851063829787, 1.0]
7216;[0.5355648535564853, 0.9560669456066946, 1.0]
7200;[0.535377768505963, 0.9326170856367999, 1.0]
7301;[0.4735352391735069, 0.9634871214265497, 1.0]
7302;[0.5142361612949848, 0.9460001445295563, 1.0]
7303;[0.49350871199180046, 0.9490946361462248, 1.0]
7304;[0.5142361612949848, 0.9460001445295563, 1.0]
7305;[0.5118833443802671, 0.9448915822365307, 1.0]
7306;[0.5125570776255708, 0.9473617453069507, 1.0]
7307;[0.4961862705740666, 0.9409875551987154, 1.0]
7308;[0.5547540983606557, 0.9418032786885245, 1.0]
7309;[0.5190283896231033, 0.9432819383259912, 1.0]
7310;[0.4742268041237113, 0.9360824742268041, 1.0]
7311;[0.5142361612949848, 0.9460001445295563, 1.0]
7312;[0.5357698289269052, 0.9440124416796267, 1.0]
7313;[0.4857142857142857, 0.980952380952381, 1.0]
7314;[0.5586034912718205, 0.9476309226932669, 1.0]
7315;[0.5142361612949848, 0.9460001445295563, 1.0]
7316;[0.5257352941176471, 0.974264705882353, 1.0]
7300;[0.5142361612949848, 0.9460001445295563, 1.0]
7401;[0.5003837298541827, 0.955487336914812, 1.0]
7402;[0.545188746670132, 0.9432135663699566, 1.0]
7403;[0.5130848532910388, 0.9488501189532117, 1.0]
7404;[0.545188746670132, 0.9432135663699566, 1.0]
7405;[0.5315870570107858, 0.9306625577812018, 1.0]
7406;[0.48366606170598914, 0.9491833030852994, 1.0]
7407;[0.5193434935521688, 0.9437280187573271, 1.0]
7408;[0.550531914893617, 0.9601063829787233, 1.0]
7409;[0.5825112857381709, 0.9286072563116536, 1.0]
7410;[0.5307692307692308, 0.9461538461538461, 1.0]
7411;[0.545188746670132, 0.9432135663699566, 1.0]
7412;[0.5449915110356537, 0.9779286926994907, 1.0]
7413;[0.5848142164781907, 0.9854604200323103, 1.0]
7414;[0.5793650793650794, 0.9365079365079365, 1.0]
7415;[0.5118110236220472, 0.9921259842519685, 1.0]
7416;[0.5424657534246575, 0.9643835616438357, 1.0]
7400;[0.545188746670132, 0.9432135663699566, 1.0]
7501;[0.5145631067961165, 0.9611650485436893, 1.0]
7502;[0.49333333333333335, 0.9528953771289538, 1.0]
7503;[0.4768649669499528, 0.9697828139754485, 1.0]
7504;[0.49333333333333335, 0.9528953771289538, 1.0]
7505;[0.492087415222306, 0.9517709118311982, 1.0]
7506;[0.5253654342218401, 0.9286328460877042, 1.0]
7507;[0.5180722891566265, 0.9445783132530121, 1.0]
7508;[0.5080409356725146, 0.9517543859649122, 1.0]
7509;[0.4989397152378067, 0.9542562859739473, 1.0]
7510;[0.49333333333333335, 0.9528953771289538, 1.0]
7511;[0.49333333333333335, 0.9528953771289538, 1.0]
7512;[0.4270833333333333, 0.9791666666666667, 1.0]
7513;[0.39880952380952384, 0.9603174603174603, 1.0]
7514;[0.46113989637305697, 0.9585492227979274, 1.0]
7515;[0.48727272727272725, 0.96, 1.0]
7516;[0.5125448028673835, 0.9426523297491038, 1.0]
7500;[0.49333333333333335, 0.9528953771289538, 1.0]
7601;[0.47157894736842104, 0.9431578947368421, 1.0]
7602;[0.5175401669823897, 0.9448186346734021, 1.0]
7603;[0.5053475935828877, 0.9429590017825312, 1.0]
7604;[0.5175401669823897, 0.9448186346734021, 1.0]
7605;[0.5129310344827587, 0.9442970822281167, 1.0]
7606;[0.5005327650506127, 0.945125199786894, 1.0]
7607;[0.49828178694158076, 0.9536082474226804, 1.0]
7608;[0.5458468176914779, 0.935275080906149, 1.0]
7609;[0.523305268639875, 0.9444492665567226, 1.0]
7610;[0.5787878787878787, 0.9303030303030302, 1.0]
7611;[0.5175401669823897, 0.9448186346734021, 1.0]
7612;[0.5070422535211268, 0.971830985915493, 1.0]
7613;[0.46174496644295304, 0.978523489932886, 1.0]
7614;[0.4824644549763033, 0.95260663507109, 1.0]
7615;[0.5366666666666666, 0.9666666666666666, 1.0]
7616;[0.49340369393139843, 0.9525065963060686, 1.0]
7600;[0.5175401669823897, 0.9448186346734021, 1.0]
7701;[0.5172413793103449, 0.9452332657200812, 1.0]
7702;[0.5521096039806421, 0.9447208779224321, 1.0]
7703;[0.5356, 0.9591999999999999, 1.0]
7704;[0.5521096039806421, 0.9447208779224321, 1.0]
7705;[0.5487364620938628, 0.9364620938628159, 1.0]
7706;[0.49446401610468044, 0.9481630598892803, 1.0]
7707;[0.512087912087912, 0.9501831501831501, 1.0]
7708;[0.5700824499411072, 0.9395367098547311, 1.0]
7709;[0.5805264421153692, 0.9335146811744939, 1.0]
7710;[0.553921568627451, 0.9509803921568627, 1.0]
7711;[0.5521096039806421, 0.9447208779224321, 1.0]
7712;[0.5280898876404494, 0.9672284644194756, 1.0]
7713;[0.5449050086355786, 0.9784110535405872, 1.0]
7714;[0.5283333333333333, 0.9633333333333334, 1.0]
7715;[0.5626283367556468, 0.9650924024640657, 1.0]
7716;[0.5414312617702448, 0.9651600753295668, 1.0]
7700;[0.5521096039806421, 0.9447208779224321, 1.0]
0001;[0.4868859585567309, 0.9547891609911607, 1.0]
0002;[0.5623390952556087, 0.9491234522496015, 1.0]
0003;[0.5138679430856993, 0.949511507442135, 1.0]
0004;[0.48630705394190865, 0.954356846473029, 1.0]
0005;[0.522791297559651, 0.9388046023826494, 1.0]
0006;[0.5170700364103662, 0.9431998286571, 1.0]
0007;[0.5057373565660859, 0.9437597393398498, 1.0]
0008;[0.5583192355173517, 0.9368570252846234, 1.0]
0009;[0.5492809218871788, 0.9399367272393819, 1.0]
0010;[0.5392749244712991, 0.9410876132930514, 1.0]
0011;[0.5756838905775076, 0.9507598784194529, 1.0]
0012;[0.5287445217839649, 0.9592678525393142, 1.0]
0013;[0.4931214421252372, 0.9786527514231499, 1.0]
0014;[0.5155393053016454, 0.95551492992078, 1.0]
0015;[0.5246720799500312, 0.9662710805746408, 1.0]
0016;[0.5255133789670193, 0.9595519601742377, 1.0]
0000;[0.5333510844063521, 0.9438279016724525, 1.0]
